No,Operator,Product,Description,Normal Price,Price,Discount
176,Tri,PAKET DATA THREE 5 GB 24JAM MASA AKTIF 30 HARI,PAKET DATA THREE 5 GB 24JAM MASA AKTIF 30 HARI,30500,30500,0
177,Indosat, Freedom Combo 6GB / 30 Hari,"• Kuota Utama 4GB+Kuota Malam 2GB, • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp operator lain 5Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",30900,30900,0
178,Indosat, Freedom U 5.5GB / 30 Hari,"• Kuota utama 1GB + Kuota Youtube, Netflix, Instagram, Zoom & Apps 4.5GB. • Kelebihan Penggunaan Apps akan menggunakan kuota utama. • Pulsa Safe hingga 64Kbps berlaku jika kuota utama habis. • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",30900,30900,0
179,Axis,AIGO Bronet Mini 5GB 15hr,"Kuota Utama 5GB, Kuota Lokal mulai 4GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",34900,34900,0
180,Axis,Paket Internet Axis BRONET 4G OWSEM 1GB+3GB (4G),Kuota Data 1GB + 3GB (4G). Masa aktif 30 hari.,34250,34250,4650
181,XL,"XTRA Bicara Nelpon, SMS, Internet, 30 hari","Paket XTRA Bicara Nelpon, SMS dan Internet. Masa aktif 30 hari.",34300,34300,700
182,Telkomsel,PAKET DATA TINDER,"Paket Data 1GB Kuota Nasiona, 1GB Kuota Tinder App, Bonus Tinder Plus Voucher All service valid for 30hari",35775,35775,0
183,Indosat,Freedom Internet 6.5GB / 30 Hari + Bonus Kuota Zona Hingga 6.5GB,"• Kuota Utama 6.5GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 6.5GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yg masih aktif",34900,34900,0
184,XL,"AnyNet 150 Menit, 30 hari",Paket AnyNet 150 Menit. Masa aktif 30 hari.,39200,39200,800
185,Telkomsel,PAKET INTERNET HARIAN 40K 3 HARI,KUOTA 4GB sd 17GB,41125,41125,0
186,Telkomsel, PAKET BICARA SESAMA TELKOMSEL 7HARI , 3400 menit Onnet ,44500,44500,0
187,Axis,OWSEM 16GB + Unlimited Games 30 Hari,"Kuota Utama 2GB + kuota malam 6GB (00-06). Kuota musik 4GB + kuota Sosmed 4GB + kuota Gaming 1GB/hari (FreeFire, Mobile Legends, AOV, ASPHALT Legends, Vainglory, Modern Combat 5), Masa aktif 30 hari.",42500,42500,1400
188,Indosat, Freedom Combo 10GB / 30 Hari,"• Kuota Utama 7GB+Kuota Malam 3GB, • Baru! Kini dgn Nelpon Sepuasnya Ke Sesama IM3 & Tri+Nelp semua operator 10Menit. • Masa aktif 30 hari. • Pembelian paket akan menggantikan paket yg masih aktif.",41850,41850,0
189,Tri,Happy 11GB 30 hari + TikTok 5GB,"""Kuota 11GB (semua jaringan 24 jam), masa aktif 30 hari. Bonus kuota TikTok 5GB 5 hari (1GB/hari).  Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234.""",44250,44250,0
190,Axis,AIGO Bronet 24Jam 5GB 30hr,"Kuota Utama 5GB, Kuota Lokal mulai 3GB berlaku di area tertentu, 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan.",47900,47900,0
191,Telkomsel,PAKET INTERNET MINGGUAN 45K,"KUOTA 2,5GB sd 6GB",46600,46600,0
192,Tri,AddOn 12GB,10GB (semua jaringan 24jam) + 2 GB (youtube/netflix) 30 Hari,48000,48000,0
193,XL,Paket Internet XL HotRod 1.5GB,Kuota Utama 1.5GB (2G/3G/4G). Masa aktif 30 hari.,48885,48885,1115
194,Indosat,Paket Nelpon Obrol Sepuasnya ke Sesama + 250 menit ke Semua 30 Hari,Nelp Sepuasnya ke Sesama IM3 dan Tri & 250 Menit Nelp ke operator lain. Masa aktif 30 hari,49000,49000,0
195,Tri,Paket Bebas Bicara 250 Menit,250 Menit 24jam ke Semua Operator di Indonesia/30 hari (Sampai Pukul 23.59),50000,50000,0
196,Tri,Internet 10GB + Klikfilm 30 Hari,2GB semua jaringan + 8GB 4G + Akses Klikfilm 30 hari,67500,67500,0
197,Telkomsel,Paket Data Zoom 7 Hari,"Kuota Internet ZOOM 4GB, masa aktif 7 hari",50000,50000,0
198,Tri,AON 12GB,"Kuota AlwaysOn = 12GB, aktif selamanya (mengikuti masa aktif kartu). Menambah masa aktif kartu 90 hari. Maksimal masa aktif kartu 365 hari.",53250,53250,0
